Season,Year,Season Type,District,Baseline Power Consumption (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
25,13,Summer,Nth CBR & City,159.45454545454544,9.799999999999999,169.25454545454545,0,28,68.34545454545457,945.6818181818181,0.9979221347331582,1.969090909091051
25,13,Summer,CBR East,19.90909090909091,4.8999999999999995,24.80909090909091,0,14,26.245454545454546,945.6818181818181,0.9979221347331582,1.969090909091051
25,13,Summer,South CBR,103.0,4.8999999999999995,107.9,0,14,5.990909090909085,945.6818181818181,0.9979221347331582,1.969090909091051
25,13,Summer,Tugg,146.0909090909091,14.7,160.79090909090908,0,42,46.26363636363638,945.6818181818181,0.9979221347331582,1.969090909091051
25,13,Summer,Gungahlin,71.63636363636364,14.35,85.98636363636363,0,41,25.86818181818181,945.6818181818181,0.9979221347331582,1.969090909091051
25,13,Summer,Woden Valley,111.18181818181819,37.099999999999994,148.28181818181818,0,106,-18.46363636363637,945.6818181818181,0.9979221347331582,1.969090909091051
26,13,Winter,Belconnen,174.78787878787878,39.55,214.33787878787876,8,113,8.116666666666674,961.189393939394,0.9009056986189005,105.72515151515154
26,13,Winter,Nth CBR & City,167.1818181818182,10.5,177.6818181818182,2,30,108.52424242424246,961.189393939394,0.9009056986189005,105.72515151515154
26,13,Winter,CBR East,20.272727272727273,5.25,25.522727272727273,1,15,25.85909090909091,961.189393939394,0.9009056986189005,105.72515151515154
26,13,Winter,South CBR,106.3030303030303,5.25,111.5530303030303,1,15,2.3500000000000085,961.189393939394,0.9009056986189005,105.72515151515154
26,13,Winter,Tugg,152.03030303030303,15.749999999999998,167.78030303030303,3,45,72.00151515151515,961.189393939394,0.9009056986189005,105.72515151515154
26,13,Winter,Gungahlin,71.48484848484848,15.049999999999999,86.53484848484848,2,43,35.05909090909091,961.189393939394,0.9009056986189005,105.72515151515154
